id,name,raw_affiliation,country_id,normalized_name
177,"John Innes Centre, Norwich Research Park, Norwich Nr4 7Uk, Uk","John Innes Centre, Norwich Research Park, Norwich NR4 7UK, UK; Harper Adams University, Newport TF10 8NB, UK. Electronic address: awatsonlazowski@harper-adams.ac.uk.",,
178," Harper Adams University, Newport Tf10 8Nb, Uk. Electronic Address: Awatsonlazowski@Harper-Adams.Ac.Uk.","John Innes Centre, Norwich Research Park, Norwich NR4 7UK, UK; Harper Adams University, Newport TF10 8NB, UK. Electronic address: awatsonlazowski@harper-adams.ac.uk.",,
179,"John Innes Centre, Norwich Research Park, Norwich Nr4 7Uk, Uk.","John Innes Centre, Norwich Research Park, Norwich NR4 7UK, UK.",,
180,"Department Of Biological Production, Akita Prefectural University, 241-438 Kaidobata-Nishi, Shimoshinjo-Nakano, Akita, Akita 010-0195, Japan.","Department of Biological Production, Akita Prefectural University, 241-438 Kaidobata-nishi, Shimoshinjo-nakano, Akita, Akita 010-0195, Japan.",,
181,"Institute Of Plant Science And Resources, Okayama University, 2-20-1 Chuo, Kurashiki, Okayama 710-0046, Japan.","Institute of Plant Science and Resources, Okayama University, 2-20-1 Chuo, Kurashiki, Okayama 710-0046, Japan.",,
182,"John Innes Centre, Norwich Research Park, Norwich Nr4 7Uk, Uk. Electronic Address: David.Seung@Jic.Ac.Uk.","John Innes Centre, Norwich Research Park, Norwich NR4 7UK, UK. Electronic address: david.seung@jic.ac.uk.",,
183,"Department Of Biology, New York University, 12 Waverly Place, New York, Ny 10003, Usa.","Department of Biology, New York University, 12 Waverly Place, New York, NY 10003, USA.",,
184,"Department Of Biochemistry And Biophysics, Kavli Institute For Fundamental Neuroscience (Kifn), University Of California, San Francisco, San Francisco, Ca 94143, Usa.","Department of Biochemistry and Biophysics, Kavli Institute for Fundamental Neuroscience (KIFN), University of California, San Francisco, San Francisco, CA 94143, USA.",,
185,"Department Of Biochemistry And Biophysics, Kavli Institute For Fundamental Neuroscience (Kifn), University Of California, San Francisco, San Francisco, Ca 94143, Usa","Department of Biochemistry and Biophysics, Kavli Institute for Fundamental Neuroscience (KIFN), University of California, San Francisco, San Francisco, CA 94143, USA; Genentech Inc, 1 DNA Way, South San Francisco, CA 94080, USA.",,
186," Genentech Inc, 1 Dna Way, South San Francisco, Ca 94080, Usa.","Department of Biochemistry and Biophysics, Kavli Institute for Fundamental Neuroscience (KIFN), University of California, San Francisco, San Francisco, CA 94143, USA; Genentech Inc, 1 DNA Way, South San Francisco, CA 94080, USA.",,
187," Biozentrum, University Of Basel, Spitalstrasse 41, 4056 Basel, Switzerland.","Department of Biochemistry and Biophysics, Kavli Institute for Fundamental Neuroscience (KIFN), University of California, San Francisco, San Francisco, CA 94143, USA; Biozentrum, University of Basel, Spitalstrasse 41, 4056 Basel, Switzerland.",,
188,"Division Of Biology And Biological Engineering, California Institute Of Technology, Pasadena, Ca 91125, Usa.","Division of Biology and Biological Engineering, California Institute of Technology, Pasadena, CA 91125, USA.",,
189,"Proteome Exploration Laboratory, Beckman Institute, California Institute Of Technology, Pasadena, Ca 91125, Usa.","Proteome Exploration Laboratory, Beckman Institute, California Institute of Technology, Pasadena, CA 91125, USA.",,
190,"Division Of Biology And Biological Engineering, California Institute Of Technology, Pasadena, Ca 91125, Usa","Division of Biology and Biological Engineering, California Institute of Technology, Pasadena, CA 91125, USA; Proteome Exploration Laboratory, Beckman Institute, California Institute of Technology, Pasadena, CA 91125, USA.",,
191," Proteome Exploration Laboratory, Beckman Institute, California Institute Of Technology, Pasadena, Ca 91125, Usa.","Division of Biology and Biological Engineering, California Institute of Technology, Pasadena, CA 91125, USA; Proteome Exploration Laboratory, Beckman Institute, California Institute of Technology, Pasadena, CA 91125, USA.",,
192,"Department Of Psychology And Neuroscience, Duke University, Durham, Nc 27708, Usa.","Department of Psychology and Neuroscience, Duke University, Durham, NC 27708, USA.",,
193,"Department Of Evolutionary And Environmental Biology, Institute Of Evolution, University Of Haifa, Haifa 3103301, Israel","Department of Evolutionary and Environmental Biology, Institute of Evolution, University of Haifa, Haifa 3103301, Israel; Department of Life Sciences, Gandhi Institute of Technology and Management, Visakhapatnam 530045, India. Electronic address: aparna.lajmi@gmail.com.",,
194," Department Of Life Sciences, Gandhi Institute Of Technology And Management, Visakhapatnam 530045, India. Electronic Address: Aparna.Lajmi@Gmail.Com.","Department of Evolutionary and Environmental Biology, Institute of Evolution, University of Haifa, Haifa 3103301, Israel; Department of Life Sciences, Gandhi Institute of Technology and Management, Visakhapatnam 530045, India. Electronic address: aparna.lajmi@gmail.com.",,
195," Department Of Archaeology, Zinman Institute, University Of Haifa, Haifa 3103301, Israel.","Department of Evolutionary and Environmental Biology, Institute of Evolution, University of Haifa, Haifa 3103301, Israel; Department of Archaeology, Zinman Institute, University of Haifa, Haifa 3103301, Israel.",,
196," Agricultural Biotechnology Research Center, Academia Sinica, Taipei 115, Taiwan","Department of Evolutionary and Environmental Biology, Institute of Evolution, University of Haifa, Haifa 3103301, Israel; Agricultural Biotechnology Research Center, Academia Sinica, Taipei 115, Taiwan; Biotechnology Center in Southern Taiwan, Academia Sinica, Tainan 711, Taiwan.",,
197," Biotechnology Center In Southern Taiwan, Academia Sinica, Tainan 711, Taiwan.","Department of Evolutionary and Environmental Biology, Institute of Evolution, University of Haifa, Haifa 3103301, Israel; Agricultural Biotechnology Research Center, Academia Sinica, Taipei 115, Taiwan; Biotechnology Center in Southern Taiwan, Academia Sinica, Tainan 711, Taiwan.",,
198,"Department Of Evolutionary And Environmental Biology, Institute Of Evolution, University Of Haifa, Haifa 3103301, Israel.","Department of Evolutionary and Environmental Biology, Institute of Evolution, University of Haifa, Haifa 3103301, Israel.",,
199,"Department Of Evolutionary And Environmental Biology, Institute Of Evolution, University Of Haifa, Haifa 3103301, Israel. Electronic Address: Eprivman@Univ.Haifa.Ac.Il.","Department of Evolutionary and Environmental Biology, Institute of Evolution, University of Haifa, Haifa 3103301, Israel. Electronic address: eprivman@univ.haifa.ac.il.",,
200,"Institute Of Pharmacology, Heidelberg University, Im Neuenheimer Feld 366, 69120 Heidelberg, Germany.","Institute of Pharmacology, Heidelberg University, Im Neuenheimer Feld 366, 69120 Heidelberg, Germany.",,
201,"Institute Of Pharmacology, Heidelberg University, Im Neuenheimer Feld 366, 69120 Heidelberg, Germany","Institute of Pharmacology, Heidelberg University, Im Neuenheimer Feld 366, 69120 Heidelberg, Germany; Molecular Medicine Partnership Unit (MMPU), European Molecular Biology Laboratory (EMBL), Meyerhofstraße 1, 69117 Heidelberg, Germany. Electronic address: jes@pharma.uni-heidelberg.de.",,
202," Molecular Medicine Partnership Unit (Mmpu), European Molecular Biology Laboratory (Embl), Meyerhofstraße 1, 69117 Heidelberg, Germany. Electronic Address: Jes@Pharma.Uni-Heidelberg.De.","Institute of Pharmacology, Heidelberg University, Im Neuenheimer Feld 366, 69120 Heidelberg, Germany; Molecular Medicine Partnership Unit (MMPU), European Molecular Biology Laboratory (EMBL), Meyerhofstraße 1, 69117 Heidelberg, Germany. Electronic address: jes@pharma.uni-heidelberg.de.",,
203,"Hawkesbury Institute For The Environment, Western Sydney University, Hawkesbury Campus, Richmond, Nsw 2753, Australia. Electronic Address: A.Barratt@Westernsydney.Edu.Au.","Hawkesbury Institute for the Environment, Western Sydney University, Hawkesbury Campus, Richmond, NSW 2753, Australia. Electronic address: a.barratt@westernsydney.edu.au.",,
204,"North Rocks, Nsw 2151, Australia.","North Rocks, NSW 2151, Australia.",,
205,"Hawkesbury Institute For The Environment, Western Sydney University, Hawkesbury Campus, Richmond, Nsw 2753, Australia","Hawkesbury Institute for the Environment, Western Sydney University, Hawkesbury Campus, Richmond, NSW 2753, Australia; School of Science, Western Sydney University, Hawkesbury Campus, Richmond, NSW 2753, Australia. Electronic address: c.turbill@westernsydney.edu.au.",,
206," School Of Science, Western Sydney University, Hawkesbury Campus, Richmond, Nsw 2753, Australia. Electronic Address: C.Turbill@Westernsydney.Edu.Au.","Hawkesbury Institute for the Environment, Western Sydney University, Hawkesbury Campus, Richmond, NSW 2753, Australia; School of Science, Western Sydney University, Hawkesbury Campus, Richmond, NSW 2753, Australia. Electronic address: c.turbill@westernsydney.edu.au.",,
207,"Museum Für Naturkunde Berlin, Leibniz-Institut Für Evolutions- Und Biodiversitätsforschung, Invalidenstraße 43, 10115 Berlin, Germany. Electronic Address: Lorenzo.Marchetti@Mfn.Berlin.","Museum für Naturkunde Berlin, Leibniz-Institut für Evolutions- und Biodiversitätsforschung, Invalidenstraße 43, 10115 Berlin, Germany. Electronic address: lorenzo.marchetti@mfn.berlin.",,
208,"Centre De Recherche En Paléontologie-Paris, Umr 7207-Cnrs, Mnhn, Su, Muséum National D'Histoire Naturelle, 8 Rue Buffon, Cp38, Paris, France.","Centre de Recherche en Paléontologie-Paris, UMR 7207-CNRS, MNHN, SU, Muséum National d'Histoire Naturelle, 8 rue Buffon, CP38, Paris, France.",,
209,"Museum Für Naturkunde Magdeburg, Otto-Von-Guericke-Straße 68-73, 39104 Magdeburg, Germany.","Museum für Naturkunde Magdeburg, Otto-von-Guericke-Straße 68-73, 39104 Magdeburg, Germany.",,
210,"Museum Für Naturkunde Berlin, Leibniz-Institut Für Evolutions- Und Biodiversitätsforschung, Invalidenstraße 43, 10115 Berlin, Germany","Museum für Naturkunde Berlin, Leibniz-Institut für Evolutions- und Biodiversitätsforschung, Invalidenstraße 43, 10115 Berlin, Germany; Centre de Recherche en Paléontologie-Paris, UMR 7207-CNRS, MNHN, SU, Muséum National d'Histoire Naturelle, 8 rue Buffon, CP38, Paris, France; Institut für Biologie, Humboldt-Universität zu Berlin, Invalidenstraße 42, 10115 Berlin, Germany.",,
211," Centre De Recherche En Paléontologie-Paris, Umr 7207-Cnrs, Mnhn, Su, Muséum National D'Histoire Naturelle, 8 Rue Buffon, Cp38, Paris, France","Museum für Naturkunde Berlin, Leibniz-Institut für Evolutions- und Biodiversitätsforschung, Invalidenstraße 43, 10115 Berlin, Germany; Centre de Recherche en Paléontologie-Paris, UMR 7207-CNRS, MNHN, SU, Muséum National d'Histoire Naturelle, 8 rue Buffon, CP38, Paris, France; Institut für Biologie, Humboldt-Universität zu Berlin, Invalidenstraße 42, 10115 Berlin, Germany.",,
212," Institut Für Biologie, Humboldt-Universität Zu Berlin, Invalidenstraße 42, 10115 Berlin, Germany.","Museum für Naturkunde Berlin, Leibniz-Institut für Evolutions- und Biodiversitätsforschung, Invalidenstraße 43, 10115 Berlin, Germany; Centre de Recherche en Paléontologie-Paris, UMR 7207-CNRS, MNHN, SU, Muséum National d'Histoire Naturelle, 8 rue Buffon, CP38, Paris, France; Institut für Biologie, Humboldt-Universität zu Berlin, Invalidenstraße 42, 10115 Berlin, Germany.",,
213,"Pfarrgasse 53, 99869 Drei Gleichen, Germany.","Pfarrgasse 53, 99869 Drei Gleichen, Germany.",,
214,"Department Of Molecular And Cellular Biology, Harvard University, Cambridge, Ma 02138, Usa. Electronic Address: Harpazone@Gmail.Com.","Department of Molecular and Cellular Biology, Harvard University, Cambridge, MA 02138, USA. Electronic address: harpazone@gmail.com.",,
215,"Department Of Biomedical Engineering, Mcgill University, Montréal, Qc H2S 3H, Canada.","Department of Biomedical Engineering, McGill University, Montréal, QC H2S 3H, Canada.",,
216,"Department Of Molecular And Cellular Biology, Harvard University, Cambridge, Ma 02138, Usa.","Department of Molecular and Cellular Biology, Harvard University, Cambridge, MA 02138, USA.",,
217,"Department Of Molecular And Cellular Biology, Harvard University, Cambridge, Ma 02138, Usa","Department of Molecular and Cellular Biology, Harvard University, Cambridge, MA 02138, USA; Center for Brain Science, Harvard University, Cambridge, MA 02138, USA.",,
218," Center For Brain Science, Harvard University, Cambridge, Ma 02138, Usa.","Department of Molecular and Cellular Biology, Harvard University, Cambridge, MA 02138, USA; Center for Brain Science, Harvard University, Cambridge, MA 02138, USA.",,
219,"Institute Of Biology I, Faculty Of Biology, Albert-Ludwigs-Universität Freiburg, Freiburg 79104, Germany.","Institute of Biology I, Faculty of Biology, Albert-Ludwigs-Universität Freiburg, Freiburg 79104, Germany.",,
220,"Plants, Photosynthesis And Soil, School Of Biosciences, University Of Sheffield, Western Bank, Sheffield S10 2Tn, Uk.","Plants, Photosynthesis and Soil, School of Biosciences, University of Sheffield, Western Bank, Sheffield S10 2TN, UK.",,
221,"Departamento De Ecología, Universidad Autónoma De Madrid, 28049 Madrid, Spain","Departamento de Ecología, Universidad Autónoma de Madrid, 28049 Madrid, Spain; ECOEVO Group, Departamento de Biología y Geología, Física y Química Inorgánica, Universidad Rey Juan Carlos, Tulipán s/n, 28933 Móstoles, Spain.",,
222," Ecoevo Group, Departamento De Biología Y Geología, Física Y Química Inorgánica, Universidad Rey Juan Carlos, Tulipán S/N, 28933 Móstoles, Spain.","Departamento de Ecología, Universidad Autónoma de Madrid, 28049 Madrid, Spain; ECOEVO Group, Departamento de Biología y Geología, Física y Química Inorgánica, Universidad Rey Juan Carlos, Tulipán s/n, 28933 Móstoles, Spain.",,
223,"Centre For Crop Systems Analysis, Wageningen University, Bornsesteeg 48, 6708 Pe Wageningen, The Netherlands.","Centre for Crop Systems Analysis, Wageningen University, Bornsesteeg 48, 6708 PE Wageningen, the Netherlands.",,
224,"Ecoevo Group, Departamento De Biología Y Geología, Física Y Química Inorgánica, Universidad Rey Juan Carlos, Tulipán S/N, 28933 Móstoles, Spain","ECOEVO Group, Departamento de Biología y Geología, Física y Química Inorgánica, Universidad Rey Juan Carlos, Tulipán s/n, 28933 Móstoles, Spain; Instituto de Investigación en Cambio Global (IICG-URJC), Universidad Rey Juan Carlos, Tulipán s/n, 28933 Móstoles, Spain.",,
225," Instituto De Investigación En Cambio Global (Iicg-Urjc), Universidad Rey Juan Carlos, Tulipán S/N, 28933 Móstoles, Spain.","ECOEVO Group, Departamento de Biología y Geología, Física y Química Inorgánica, Universidad Rey Juan Carlos, Tulipán s/n, 28933 Móstoles, Spain; Instituto de Investigación en Cambio Global (IICG-URJC), Universidad Rey Juan Carlos, Tulipán s/n, 28933 Móstoles, Spain.",,
226,"Mrc Cognition And Brain Sciences Unit, University Of Cambridge, 15 Chaucer Road, Cambridge Cb2 7Ef, Uk","MRC Cognition and Brain Sciences Unit, University of Cambridge, 15 Chaucer Road, Cambridge CB2 7EF, UK; Institute of Cognitive Neuroscience, University College London, 17 Queen Square, London WC1N 3AR, UK. Electronic address: maria.molina@mrc-cbu.cam.ac.uk.",,
227," Institute Of Cognitive Neuroscience, University College London, 17 Queen Square, London Wc1N 3Ar, Uk. Electronic Address: Maria.Molina@Mrc-Cbu.Cam.Ac.Uk.","MRC Cognition and Brain Sciences Unit, University of Cambridge, 15 Chaucer Road, Cambridge CB2 7EF, UK; Institute of Cognitive Neuroscience, University College London, 17 Queen Square, London WC1N 3AR, UK. Electronic address: maria.molina@mrc-cbu.cam.ac.uk.",,
228," Institute Of Cognitive Neuroscience, University College London, 17 Queen Square, London Wc1N 3Ar, Uk.","MRC Cognition and Brain Sciences Unit, University of Cambridge, 15 Chaucer Road, Cambridge CB2 7EF, UK; Institute of Cognitive Neuroscience, University College London, 17 Queen Square, London WC1N 3AR, UK.",,
229," Neuro-X Institute, École Polytechnique Fédérale De Lausanne (Epfl), Route Cantonale, 1015 Lausanne, Switzerland.","MRC Cognition and Brain Sciences Unit, University of Cambridge, 15 Chaucer Road, Cambridge CB2 7EF, UK; Neuro-X Institute, École Polytechnique Fédérale de Lausanne (EPFL), Route Cantonale, 1015 Lausanne, Switzerland.",,
230,"Mrc Cognition And Brain Sciences Unit, University Of Cambridge, 15 Chaucer Road, Cambridge Cb2 7Ef, Uk.","MRC Cognition and Brain Sciences Unit, University of Cambridge, 15 Chaucer Road, Cambridge CB2 7EF, UK.",,
231," Dani Clode Design, Mill Lane, Cambridgeshire Cb24 9Hw, Uk.","MRC Cognition and Brain Sciences Unit, University of Cambridge, 15 Chaucer Road, Cambridge CB2 7EF, UK; Dani Clode Design, Mill Lane, Cambridgeshire CB24 9HW, UK.",,
232,"Centre For Vision Research, York University, 4700 Keele St, Toronto, On M3J 1P3, Canada","Centre for Vision Research, York University, 4700 Keele St, Toronto, ON M3J 1P3, Canada; Department of Biology, Faculty of Science, York University, 4700 Keele St, Toronto, ON M3J 1P3, Canada. Electronic address: hamidram@yorku.ca.",,
233," Department Of Biology, Faculty Of Science, York University, 4700 Keele St, Toronto, On M3J 1P3, Canada. Electronic Address: Hamidram@Yorku.Ca.","Centre for Vision Research, York University, 4700 Keele St, Toronto, ON M3J 1P3, Canada; Department of Biology, Faculty of Science, York University, 4700 Keele St, Toronto, ON M3J 1P3, Canada. Electronic address: hamidram@yorku.ca.",,
234,"Department Of Neuroscience, University Of Montréal, 2900 Edouard Montpetit Blvd, Montreal, Qc H3T 1J4, Canada.","Department of Neuroscience, University of Montréal, 2900 Edouard Montpetit Blvd, Montreal, QC H3T 1J4, Canada.",,
235," Department Of Human Health Sciences, College Of Biological Science, University Of Guelph, 50 Stone Rd E, Guelph, On N1G 2W1, Canada. Electronic Address: Mfallah@Uoguelph.Ca.","Centre for Vision Research, York University, 4700 Keele St, Toronto, ON M3J 1P3, Canada; Department of Human Health Sciences, College of Biological Science, University of Guelph, 50 Stone Rd E, Guelph, ON N1G 2W1, Canada. Electronic address: mfallah@uoguelph.ca.",,
236,"Center For Excellence In Brain Science And Intelligence Technology, Chinese Academy Of Sciences, Shanghai 200031, China","Center for Excellence in Brain Science and Intelligence Technology, Chinese Academy of Sciences, Shanghai 200031, China; University of Chinese Academy of Sciences, Beijing 100049, China.",,
237," University Of Chinese Academy Of Sciences, Beijing 100049, China. Electronic Address: Yuxiao@Ion.Ac.Cn.","Center for Excellence in Brain Science and Intelligence Technology, Chinese Academy of Sciences, Shanghai 200031, China; University of Chinese Academy of Sciences, Beijing 100049, China. Electronic address: yuxiao@ion.ac.cn.",,
238,"Department Of Physiology And Biophysics, University Of Colorado School Of Medicine, Aurora, Co, Usa","Department of Physiology and Biophysics, University of Colorado School of Medicine, Aurora, CO, USA; Department of Neurosurgery, University of Colorado School of Medicine, Aurora, CO, USA.",,
239," Department Of Neurosurgery, University Of Colorado School Of Medicine, Aurora, Co, Usa.","Department of Physiology and Biophysics, University of Colorado School of Medicine, Aurora, CO, USA; Department of Neurosurgery, University of Colorado School of Medicine, Aurora, CO, USA.",,
240,"Department Of Cell And Developmental Biology, University Of Colorado School Of Medicine, Aurora, Co, Usa.","Department of Cell and Developmental Biology, University of Colorado School of Medicine, Aurora, CO, USA.",,
241,"Laboratoire De Neurosciences Cognitives Et Computationnelles, École Normale Supérieure-Psl, Inserm, Paris, France. Electronic Address: Catherine.Tallon-Baudry@Ens.Psl.Eu.","Laboratoire de Neurosciences Cognitives et Computationnelles, École Normale Supérieure-PSL, Inserm, Paris, France. Electronic address: catherine.tallon-baudry@ens.psl.eu.",,
242,"Laboratoire De Neurosciences Cognitives Et Computationnelles, École Normale Supérieure-Psl, Inserm, Paris, France.","Laboratoire de Neurosciences Cognitives et Computationnelles, École Normale Supérieure-PSL, Inserm, Paris, France.",,
243,"Brain Dynamics Centre, Westmead Institute For Medical Research, Sydney, New South Wales, Australia.","Brain Dynamics Centre, Westmead Institute for Medical Research, Sydney, New South Wales, Australia.",,
244,"Uk Health Security Agency, Harwell Science And Innovation Campus, Didcot, Oxfordshire Ox11 0Rq, Uk.","UK Health Security Agency, Harwell Science and Innovation Campus, Didcot, Oxfordshire OX11 0RQ, UK.",,
245,"Uk Health Security Agency, Harwell Science And Innovation Campus, Didcot, Oxfordshire Ox11 0Rq, Uk. Electronic Address: Nora.Bourbia@Ukhsa.Gov.Uk.","UK Health Security Agency, Harwell Science and Innovation Campus, Didcot, Oxfordshire OX11 0RQ, UK. Electronic address: nora.bourbia@ukhsa.gov.uk.",,
246,"Department Of Chemistry And Biotechnology, Tallinn University Of Technology, Tallinn, Estonia.","Department of Chemistry and Biotechnology, Tallinn University of Technology, Tallinn, Estonia.",,
247,"Department Of Chemistry And Biotechnology, Tallinn University Of Technology, Tallinn, Estonia","Department of Chemistry and Biotechnology, Tallinn University of Technology, Tallinn, Estonia; Protobios LLC, Tallinn, Estonia. Electronic address: tonis.timmusk@taltech.ee.",,
248," Protobios Llc, Tallinn, Estonia. Electronic Address: Tonis.Timmusk@Taltech.Ee.","Department of Chemistry and Biotechnology, Tallinn University of Technology, Tallinn, Estonia; Protobios LLC, Tallinn, Estonia. Electronic address: tonis.timmusk@taltech.ee.",,
249,"Department Of Biology, Johns Hopkins University, Baltimore, Md, Usa.","Department of Biology, Johns Hopkins University, Baltimore, MD, USA.",,
250,"Department Of Molecular, Cellular, And Developmental Biology, Yale University, New Haven, Ct, Usa.","Department of Molecular, Cellular, and Developmental Biology, Yale University, New Haven, CT, USA.",,
251,"Institute For Theoretical Biology, Humboldt University, Berlin, Germany.","Institute for Theoretical Biology, Humboldt University, Berlin, Germany.",,
252,"Department Of Neuroscience, Yale University, New Haven, Ct, Usa.","Department of Neuroscience, Yale University, New Haven, CT, USA.",,
253,"State Key Laboratory Of Immune Response And Immunotherapy, Department Of Radiology, The First Affiliated Hospital Of Ustc, Division Of Life Sciences And Medicine, University Of Science And Technology Of China, Hefei, China.","State Key Laboratory of Immune Response and Immunotherapy, Department of Radiology, The First Affiliated Hospital of USTC, Division of Life Sciences and Medicine, University of Science and Technology of China, Hefei, China.",,
254,"Department Of Organ Transplantation Center, Anhui Province Key Laboratory Of Hepatopancreatobiliary Surgery, The First Affiliated Hospital Of Ustc, Division Of Life Sciences And Medicine, University Of Science And Technology Of China, Hefei, China.","Department of Organ Transplantation Center, Anhui Province Key Laboratory of Hepatopancreatobiliary Surgery, The First Affiliated Hospital of USTC, Division of Life Sciences and Medicine, University of Science and Technology of China, Hefei, China.",,
255,"National Center For Gene Research, Cas Center For Excellence In Molecular Plant Sciences (Cemps), Institute Of Plant Physiology And Ecology (Sippe), Chinese Academy Of Sciences (Cas), Shanghai, China.","National Center for Gene Research, CAS Center for Excellence in Molecular Plant Sciences (CEMPS), Institute of Plant Physiology and Ecology (SIPPE), Chinese Academy of Sciences (CAS), Shanghai, China.",,
256,"Key Laboratory Of Plant Carbon Capture, Cemps, Sippe, Cas, Shanghai, China.","Key Laboratory of Plant Carbon Capture, CEMPS, SIPPE, CAS, Shanghai, China.",,
257,"State Key Laboratory Of Brain Function And Disorders, Moe Frontiers Center For Brain Science. Institutes Of Brain Science, Department Of Neurosurgery, Huashan Hospital, Fudan University, Shanghai, China.","State Key Laboratory of Brain Function and Disorders, MOE Frontiers Center for Brain Science. Institutes of Brain Science, Department of Neurosurgery, Huashan Hospital, Fudan University, Shanghai, China.",,
258,"Department Of Dermatology, Zhongshan Hospital, Fudan University, Shanghai, China.","Department of Dermatology, Zhongshan Hospital, Fudan University, Shanghai, China.",,
259,"Key Laboratory Of Immune Response And Immunotherapy, Center For Advanced Interdisciplinary Science And Biomedicine Of Ihm, Division Of Life Sciences And Medicine, University Of Science And Technology Of China, Hefei, China.","Key Laboratory of Immune Response and Immunotherapy, Center for Advanced Interdisciplinary Science and Biomedicine of IHM, Division of Life Sciences and Medicine, University of Science and Technology of China, Hefei, China.",,
260,"Department Of Neurosurgery, Huashan Hospital, Fudan University, Shanghai, China.","Department of Neurosurgery, Huashan Hospital, Fudan University, Shanghai, China.",,
261,"Department Of Pain, Huadong Hospital, Shanghai Key Laboratory Of Clinical Geriatric Medicine, Fudan University, Shanghai, China.","Department of Pain, Huadong Hospital, Shanghai Key Laboratory of Clinical Geriatric Medicine, Fudan University, Shanghai, China.",,
262,"Department Of Integrative Medicine And Neurobiology, School Of Basic Medical Sciences, Shanghai Medical College, Institute Of Acupuncture Research, Institutes Of Integrative Medicine, Fudan University, Shanghai, China.","Department of Integrative Medicine and Neurobiology, School of Basic Medical Sciences, Shanghai Medical College, Institute of Acupuncture Research, Institutes of Integrative Medicine, Fudan University, Shanghai, China.",,
263,"Department Of Medical Chemistry, Graduate School Of Medicine, Kyoto University, Kyoto, Japan.","Department of Medical Chemistry, Graduate School of Medicine, Kyoto University, Kyoto, Japan.",,
264,"Laboratory For Translation Structural Biology, Riken Center For Integrative Medical Sciences, Yokohama, Japan.","Laboratory for Translation Structural Biology, RIKEN Center for Integrative Medical Sciences, Yokohama, Japan.",,
265,"Proteome Homeostasis Research Unit, Riken Center For Integrative Medical Sciences, Yokohama, Japan.","Proteome Homeostasis Research Unit, RIKEN Center for Integrative Medical Sciences, Yokohama, Japan.",,
266,"Rna Systems Biochemistry Laboratory, Pioneering Research Institute, Riken, Wako, Saitama, Japan.","RNA Systems Biochemistry Laboratory, Pioneering Research Institute, RIKEN, Wako, Saitama, Japan.",,
267,"Department Of Chemistry And Biotechnology, Graduate School Of Engineering, The University Of Tokyo, Tokyo, Japan.","Department of Chemistry and Biotechnology, Graduate School of Engineering, The University of Tokyo, Tokyo, Japan.",,
268,"Laboratory Of Biochemistry, Department Of Pharmacy, Faculty Of Pharmacy, Kindai University, Osaka, Japan.","Laboratory of Biochemistry, Department of Pharmacy, Faculty of Pharmacy, Kindai University, Osaka, Japan.",,
269,"Department Of Genome Informatics, Research Institute For Microbial Diseases, The University Of Osaka, Osaka, Japan.","Department of Genome Informatics, Research Institute for Microbial Diseases, The University of Osaka, Osaka, Japan.",,
270,"Estudios Aplicados, Escuela De Antropología, Pontificia Universidad Católica De Chile, Santiago, Chile.","Estudios Aplicados, Escuela de Antropología, Pontificia Universidad Católica de Chile, Santiago, Chile.",,
271,"Instituto De Geografía, Facultad De Historia, Geografía Y Ciencia Política, Pontificia Universidad Católica De Chile, Santiago, Chile.","Instituto de Geografía, Facultad de Historia, Geografía y Ciencia Política, Pontificia Universidad Católica de Chile, Santiago, Chile.",,
272,"Boku University, Institute Of Applied Geology, Department Of Landscape, Water And Infrastructure, Vienna, Austria.","BOKU University, Institute of Applied Geology, Department of Landscape, Water and Infrastructure, Vienna, Austria.",,
273,"Centro Uc Desierto De Atacama, Pontificia Universidad Católica De Chile, Santiago, Chile.","Centro UC Desierto de Atacama, Pontificia Universidad Católica de Chile, Santiago, Chile.",,
274,"Department Of Earth And Planetary Sciences, Harvard University, Cambridge, Ma, Usa.","Department of Earth and Planetary Sciences, Harvard University, Cambridge, MA, USA.",,
275,"Smith College, Northampton, Ma, Usa.","Smith College, Northampton, MA, USA.",,
276,"Department Of Molecular And Cellular Physiology, Stanford University School Of Medicine, Stanford, Ca, Usa.","Department of Molecular and Cellular Physiology, Stanford University School of Medicine, Stanford, CA, USA.",,
277,"Department Of Microbiology, Immunology, And Molecular Genetics, University Of California, Los Angeles (Ucla), Los Angeles, Ca, Usa.","Department of Microbiology, Immunology, and Molecular Genetics, University of California, Los Angeles (UCLA), Los Angeles, CA, USA.",,
278,"Department Of Biochemistry And Molecular Biophysics, Columbia University Irving Medical Center, New York, Ny, Usa.","Department of Biochemistry and Molecular Biophysics, Columbia University Irving Medical Center, New York, NY, USA.",,
279,"Department Of Molecular And Medical Pharmacology, Ucla, Los Angeles, Ca, Usa.","Department of Molecular and Medical Pharmacology, UCLA, Los Angeles, CA, USA.",,
280,"Department Of Medicine, Division Of Immunology And Rheumatology, Stanford University School Of Medicine, Stanford, Ca, Usa.","Department of Medicine, Division of Immunology and Rheumatology, Stanford University School of Medicine, Stanford, CA, USA.",,
281,"Department Of Medical Microbiology And Immunology, School Of Medicine, University Of California At Davis, Davis, Ca, Usa.","Department of Medical Microbiology and Immunology, School of Medicine, University of California at Davis, Davis, CA, USA.",,
282,"Department Of Family Medicine, Yongin Severance Hospital, Yonsei University College Of Medicine, Yongin, Republic Of Korea.","Department of Family Medicine, Yongin Severance Hospital, Yonsei University College of Medicine, Yongin, Republic of Korea.",,
